Model run by xnw17 using Apollo 0.3.6 on R 4.5.2 for Darwin.
Please acknowledge the use of Apollo by citing Hess & Palma (2019)
  DOI 10.1016/j.jocm.2019.100170
  www.ApolloChoiceModelling.com

Model name                                  : removebadcase_piecewise_rangeloss_car_suv_lc_6c_1
Model description                           : LC model with 6 classes, piecewise linear range and range loss
Model run at                                : 2026-06-18 18:26:05.851314
Estimation method                           : bgw
Estimation diagnosis                        : Relative function convergence (favorable)
Optimisation diagnosis                      : Maximum found
     hessian properties                     : Negative definite
     maximum eigenvalue                     : -0.306197
     reciprocal of condition number         : 3.95093e-06
Number of individuals                       : 2691
Number of rows in database                  : 16146
Number of modelled outcomes                 : 16146

Number of cores used                        :  6 
Model without mixing

LL(start)                                   : -14956.65
LL (whole model) at equal shares, LL(0)     : -22383.11
LL (whole model) at observed shares, LL(C)  : -22214.38
LL(final, whole model)                      : -14941.62
Rho-squared vs equal shares                  :  0.3325 
Adj.Rho-squared vs equal shares              :  0.3271 
Rho-squared vs observed shares               :  0.3274 
Adj.Rho-squared vs observed shares           :  0.3228 
AIC                                         :  30125.25 
BIC                                         :  31055.67 

LL(0,Class_1)                    : -22383.11
LL(final,Class_1)                : -60580.77
LL(0,Class_2)                    : -22383.11
LL(final,Class_2)                : -28420.93
LL(0,Class_3)                    : -22383.11
LL(final,Class_3)                : -32352.56
LL(0,Class_4)                    : -22383.11
LL(final,Class_4)                : -24853.58
LL(0,Class_5)                    : -22383.11
LL(final,Class_5)                : -20971.12
LL(0,Class_6)                    : -22383.11
LL(final,Class_6)                : -33829.76

Estimated parameters                        : 121
Time taken (hh:mm:ss)                       :  00:09:42.4 
     pre-estimation                         :  00:00:15.59 
     estimation                             :  00:00:11.83 
     post-estimation                        :  00:09:14.97 
Iterations                                  :  14  

Unconstrained optimisation.

Estimates:
                                 Estimate        s.e.   t.rat.(0)  p(2-sided)    Rob.s.e.
gamma_evb_environment_agree_f                      0.002025                     -0.001998
gamma_evb_function_disagree_f                      0.005694                    3.8455e-04
gamma_hhveh_fuel_f                              -8.7816e-04                    5.4727e-04
gamma_veh_range_f                               -4.3401e-04                      0.001079
gamma_suv_f                                       -0.010108                    2.3970e-04
                                              b_range_pw1_a                 b_range_pw2_a
b_no_choice_a                                      1.050395                     -0.641195
b_mileage_a                                       -0.016665                      0.009294
b_range_pw1_a                                      1.346707                     -0.861531
b_range_pw2_a                                     -0.861531                      1.303457
b_range_pw3_a                                      0.068402                     -0.096846
b_loss_pw1_a                                      -0.007006                      0.005525
b_loss_pw2_a                                      -0.003047                      0.011312
b_loss_pw3_a                                       0.002142                     -0.002016
b_packreplace_a                                   -0.055415                      0.015640
b_cellreplace_a                                    0.017992                     -0.060826
b_price_a                                         -0.019033                     -0.142287
b_no_choice_b                                     -0.002026                     -0.005080
b_mileage_b                                     -1.8574e-04                     9.296e-05
b_range_pw1_b                                    3.9031e-04                   -5.8062e-04
b_range_pw2_b                                     -0.003085                      0.002738
b_range_pw3_b                                    1.6301e-04                   -4.0857e-04
b_loss_pw1_b                                     -7.334e-05                    -2.829e-05
b_loss_pw2_b                                     -4.451e-06                    -9.673e-05
b_loss_pw3_b                                     -3.523e-06                   -1.2043e-04
b_packreplace_b                                 -2.4520e-04                    4.0313e-04
b_cellreplace_b                                   3.620e-05                    1.1460e-04
b_price_b                                       -3.6014e-04                    4.6221e-04
b_no_choice_c                                      0.009892                     -0.011906
b_mileage_c                                       6.883e-05                   -1.9459e-04
b_range_pw1_c                                      0.001005                      0.001219
b_range_pw2_c                                     -0.002160                      0.003966
b_range_pw3_c                                     -0.002571                      0.001581
b_loss_pw1_c                                      8.016e-05                    -9.269e-05
b_loss_pw2_c                                     -8.479e-05                    1.2699e-04
b_loss_pw3_c                                      5.180e-05                   -1.1957e-04
b_packreplace_c                                 -5.8596e-04                    4.3992e-04
b_cellreplace_c                                  -9.288e-05                   -2.0988e-04
b_price_c                                          0.001796                     -0.001178
b_no_choice_d                                     -0.001995                      0.003096
b_mileage_d                                     -1.7968e-04                    2.1580e-04
b_range_pw1_d                                      0.001589                     -0.001633
b_range_pw2_d                                     -0.002346                      0.002138
b_range_pw3_d                                    2.5193e-04                    -9.327e-05
b_loss_pw1_d                                      5.508e-05                    -7.547e-05
b_loss_pw2_d                                     -2.355e-05                     5.249e-05
b_loss_pw3_d                                     -3.032e-06                     3.736e-06
b_packreplace_d                                 -4.0666e-04                    2.2145e-04
b_cellreplace_d                                 -2.9904e-04                    2.2052e-04
b_price_d                                       -1.0835e-04                    -1.480e-05
b_no_choice_e                                     -0.018586                      0.028285
b_mileage_e                                        0.001671                     -0.001687
b_range_pw1_e                                     -0.025283                      0.027466
b_range_pw2_e                                      0.021294                     -0.012965
b_range_pw3_e                                     -0.003162                     -0.002106
b_loss_pw1_e                                     2.3745e-04                   -1.3080e-04
b_loss_pw2_e                                      9.881e-05                   -5.9826e-04
b_loss_pw3_e                                     -4.079e-05                     9.458e-05
b_packreplace_e                                    0.002129                   -4.2528e-04
b_cellreplace_e                                   -0.001509                      0.002903
b_price_e                                         -0.001988                      0.005104
b_no_choice_f                                     -0.001560                      0.012799
b_mileage_f                                       2.411e-05                    -6.710e-06
b_range_pw1_f                                      0.002330                     -0.003188
b_range_pw2_f                                   -6.6861e-04                    2.0949e-04
b_range_pw3_f                                    -4.434e-05                      0.003345
b_loss_pw1_f                                     -4.304e-05                    1.1213e-04
b_loss_pw2_f                                      2.994e-06                    -2.247e-05
b_loss_pw3_f                                      2.116e-05                    -4.297e-05
b_packreplace_f                                  1.1096e-04                   -2.6346e-04
b_cellreplace_f                                  1.4340e-04                   -4.9602e-04
b_price_f                                         6.437e-05                      0.001115
delta_b                                            0.015913                      0.005699
gamma_EV_rangeanxiety_b                           -0.016482                      0.022168
gamma_risktaker_b                                 -0.001527                   -5.1937e-04
gamma_hhincome_b                                -2.7236e-04                    6.9171e-04
gamma_ev_charge_b                                 -0.001785                      0.006483
gamma_knowledge_ev_b                               0.004511                     -0.007152
gamma_evb_environment_agree_b                      0.004514                     -0.008375
gamma_evb_function_disagree_b                      0.006385                     -0.016448
gamma_hhveh_fuel_b                                 0.003497                     -0.007771
gamma_veh_range_b                                 -0.001442                     -0.002485
gamma_suv_b                                       -0.003450                     -0.016567
delta_c                                            0.017892                      0.003314
gamma_EV_rangeanxiety_c                           -0.017179                      0.023289
gamma_risktaker_c                                 -0.001715                   -6.0145e-04
gamma_hhincome_c                                -3.0784e-04                    7.3390e-04
gamma_ev_charge_c                                 -0.002292                      0.007422
gamma_knowledge_ev_c                               0.004486                     -0.006980
gamma_evb_environment_agree_c                      0.004833                     -0.008559
gamma_evb_function_disagree_c                      0.006634                     -0.016785
gamma_hhveh_fuel_c                                 0.003411                     -0.007835
gamma_veh_range_c                                 -0.001395                     -0.002558
gamma_suv_c                                       -0.004032                     -0.015461
delta_d                                            0.016313                      0.006383
gamma_EV_rangeanxiety_d                           -0.017182                      0.023298
gamma_risktaker_d                               -8.7773e-04                     -0.001594
gamma_hhincome_d                                -2.5285e-04                    6.5681e-04
gamma_ev_charge_d                                 -0.001755                      0.006153
gamma_knowledge_ev_d                               0.004419                     -0.006594
gamma_evb_environment_agree_d                      0.004400                     -0.008360
gamma_evb_function_disagree_d                      0.006639                     -0.017014
gamma_hhveh_fuel_d                                 0.002985                     -0.007417
gamma_veh_range_d                                 -0.001582                     -0.002375
gamma_suv_d                                       -0.003080                     -0.016833
delta_e                                            0.022733                      0.006578
gamma_EV_rangeanxiety_e                           -0.024354                      0.032780
gamma_risktaker_e                                 -0.002010                   -8.0933e-04
gamma_hhincome_e                                -4.2558e-04                      0.001123
gamma_ev_charge_e                                 -0.003154                      0.010810
gamma_knowledge_ev_e                               0.008185                     -0.012097
gamma_evb_environment_agree_e                      0.006866                     -0.012379
gamma_evb_function_disagree_e                      0.008123                     -0.020651
gamma_hhveh_fuel_e                                 0.004189                     -0.009622
gamma_veh_range_e                                 -0.002284                     -0.003218
gamma_suv_e                                       -0.005123                     -0.022800
delta_f                                            0.015939                      0.006269
gamma_EV_rangeanxiety_f                           -0.016967                      0.023535
gamma_risktaker_f                               -8.9419e-04                     -0.001962
gamma_hhincome_f                                -2.5188e-04                    6.6959e-04
gamma_ev_charge_f                                 -0.001645                      0.006458
gamma_knowledge_ev_f                               0.004962                     -0.007256
gamma_evb_environment_agree_f                      0.005096                     -0.009269
gamma_evb_function_disagree_f                      0.007154                     -0.016973
gamma_hhveh_fuel_f                                 0.003375                     -0.007956
gamma_veh_range_f                                 -0.001441                     -0.002459
gamma_suv_f                                       -0.004594                     -0.014394
                                              b_range_pw3_a                  b_loss_pw1_a
b_no_choice_a                                     -0.121210                      0.032029
b_mileage_a                                        0.006703                      0.002269
b_range_pw1_a                                      0.068402                     -0.007006
b_range_pw2_a                                     -0.096846                      0.005525
b_range_pw3_a                                      0.288290                   -1.3557e-04
b_loss_pw1_a                                    -1.3557e-04                      0.005393
b_loss_pw2_a                                       0.005461                     -0.003055
b_loss_pw3_a                                      -0.001933                      0.001068
b_packreplace_a                                   -0.010927                     -0.001009
b_cellreplace_a                                   -0.017932                    4.6474e-04
b_price_a                                         -0.140626                     -0.001813
